model,test_accuracy,macro_f1,avg_confidence,input_shape
model3_mobilenetv2,0.9987816307403936,0.9984958717014272,0.9987557530403137,"(None, 96, 96, 3)"
baseline,0.9958762886597938,0.9959283851888254,0.9972015619277954,"(None, 64, 64, 1)"
model2_augmented,0.9906279287722587,0.9894765875107466,0.9865067601203918,"(None, 64, 64, 1)"
