count,true,pred
19,h,g
7,0,o
6,8,7
6,g,h
4,6,w
4,a,e
4,u,r
4,y,l
3,4,5
3,c,d
2,0,q
2,7,j
2,9,5
2,g,l
2,w,6
1,1,u
1,2,k
1,2,u
1,8,d
1,d,a
1,d,l
1,d,u
1,e,a
1,f,d
1,g,a
